run_id,params,depth,epochs,batch_size,target,family,source_dataset,is_gpu,n_observations,n_features,n_classes,task_encoded,imbalance,power,duration,shape_exponential,shape_rectangle,shape_rectangle_residual,shape_trapezoid,shape_wide_first_16x,shape_wide_first_2x,shape_wide_first_4x,shape_wide_first_8x,group_key
deeb49f0-672b-4e9e-81a6-244c9f5b7f90,1048576,4,3000,256,2980061.792613,MLP,BUTTER-E,1,105908.0,13.0,5.0,1.0,0.1484938125639567,434.368852362062,6860.671009000001,0,0,1,0,0,0,0,0,1048576|4|1|105908.0|rectangle_residual
def7d06b-fe83-4c67-88f6-05b5a8ec437e,256,6,3000,256,365100.1951599997,MLP,BUTTER-E,1,3848.0,4.0,3784.0,0.0,4.250269277695601e-06,399.9155434467923,912.943248,0,0,1,0,0,0,0,0,256|6|1|3848.0|rectangle_residual
defaef7b-b302-4c2d-8839-872a922c32d1,2097152,5,3000,256,388260.0836839998,MLP,BUTTER-E,1,3848.0,4.0,3784.0,0.0,4.250269277695601e-06,409.56657747485895,947.977948,0,0,0,0,0,1,0,0,2097152|5|1|3848.0|wide_first_2x
df069728-8a02-4889-b2ae-76061e7b2e52,65536,4,3000,256,375297.6038239998,MLP,BUTTER-E,1,3848.0,4.0,3784.0,0.0,4.250269277695601e-06,410.4442642675335,914.369225,0,1,0,0,0,0,0,0,65536|4|1|3848.0|rectangle
df0b3a2e-a368-4d75-b618-fe0c3eaca86a,16777216,12,3000,256,6182055.209918001,MLP,BUTTER-E,1,70000.0,784.0,10.0,1.0,0.0003254145124716,479.6775619897411,12887.939107,0,0,0,0,0,0,0,1,16777216|12|1|70000.0|wide_first_8x
df0c6634-82b3-4e4e-b86d-6b125f9b775e,8192,2,3000,256,1347747.7098429997,MLP,BUTTER-E,1,48842.0,14.0,2.0,1.0,0.2718959907996784,423.5399232170765,3182.103117,0,1,0,0,0,0,0,0,8192|2|1|48842.0|rectangle
df0cd17f-67ba-4fda-8eaa-80c63414d54d,32768,2,3000,256,596853.2972789999,MLP,BUTTER-E,1,12958.0,8.0,4.0,1.0,0.0900899366400157,435.5974401396834,1370.1946850000002,0,1,0,0,0,0,0,0,32768|2|1|12958.0|rectangle
df10eb4a-0d7f-45bc-883d-9a2550bdee0e,524288,16,3000,256,448933.23064599984,MLP,BUTTER-E,1,5300.0,2.0,2.0,1.0,0.0106907796368814,419.044227701142,1071.326607,0,0,0,1,0,0,0,0,524288|16|1|5300.0|trapezoid
df16b3b0-7eb1-458a-9f5e-b40390166d5e,128,10,3000,256,436726.4948419997,MLP,BUTTER-E,1,5300.0,2.0,2.0,1.0,0.0106907796368814,426.6940577556383,1023.512015,0,0,0,1,0,0,0,0,128|10|1|5300.0|trapezoid
df17ef06-19b1-4ae9-b285-56ac0d192804,2097152,9,3000,256,2524361.201016,MLP,BUTTER-E,1,70000.0,784.0,10.0,1.0,0.0003254145124716,440.4335366949549,5731.537203000001,0,0,1,0,0,0,0,0,2097152|9|1|70000.0|rectangle_residual
df1a706b-80b4-4501-abbf-f84505a98ef1,524288,7,3000,256,677902.8960749999,MLP,BUTTER-E,1,15000.0,48.0,11.0,0.0,0.3746815528888889,427.4102642018546,1586.070698,0,0,0,0,0,1,0,0,524288|7|1|15000.0|wide_first_2x
